id,katakana,english
174,"エンタープライズ","enterprise"
175,"エンタープライズレベル","enterprise level"
176,"エンディアン","endian"
177,"エンティティ","entity"
178,"エンドツーエンド","end-to-end"
179,"エンドポイント","end point"
180,"エントリ","entry"
181,"エントリポイント","entry point"
182,"オーサリングツール","authoring tool"
183,"オーディオ","audio"
184,"オートスケーリング","auto scaling"
185,"オーバー","over"
186,"オーバーレイ","overlay"
187,"オーバヘッド","overhead"
188,"オーバレイ","overlay"
189,"オープンアーキテクチャ","open architecture"
190,"オープンソース","open source"
191,"オープンソース・ソフトウェア","open source software"
192,"オープンソースソフトウェア","open source software"
193,"オープンプラットフォーム","open platform"
194,"オープン","open"
195,"オシロスコープ","oscilloscope"
196,"オフィスコンピュータ","office computer"
197,"オフコン","office computer"
198,"オブザーバー","observer"
199,"オブジェクト","object"
200,"オブジェクトコード","object code"
201,"オブジェクトファイル","object file"
202,"オブジェクト、データベース","objects, database"
203,"オブジェクト、プログラミング","object, programming"
204,"オフショア","offshore"
205,"オプション","option"
206,"オフセット","offset"
207,"オプティマイザ","optimizer"
208,"オフライン","off-line"
209,"オペランド","operand"
210,"オペレーション","operation"
211,"オペレータ","operator"
212,"オペレーター","operator"
213,"オペレーティング","operating"
214,"オペレーティングシステム","operating system"
215,"オン","on"
216,"オンサイト","on-site"
217,"オンボード","on-board"
218,"オンメモリ","on memory"
219,"オンライン","online"
220,"オンラインゲーム","online game"
221,"オンラインシステム","online system"
222,"オンラインショップ","online shop"
223,"オンラインストレージ","online storage"
224,"オンラインテスト","online test"
225,"オンライントレード","online trading"
226,"オンラインバックアップ","online backup"
227,"オンラインバンキング","online banking"
228,"オンラインヘルプ","online help"
229,"カーソル","cursor"
230,"カーソルキー","cursor key"
231,"カードスロット","card slot"
232,"カードリーダー","card reader"
233,"カーナビ","car navigation system"
234,"カーナビゲーション","car navigation"
235,"カーニング","kerning"
236,"カーネル","kernel"
237,"ガイドライン","guideline"
238,"カウンタ","counter"
239,"カウント","count"
240,"カウントアップ","count up"
241,"カスケード","cascade"
242,"カスタマーサポート","customer support"
243,"カスタマイズ","customize"
244,"カスタム","custom"
245,"カスタムコントロール","custom controls"
246,"カテゴリ","category"
247,"カテゴリー","category"
248,"カバー","cover"
249,"カプセル","capsule"
250,"ガベージコレクション","garbage collection"
251,"カメラ","camera"
252,"カラム","column"
253,"カレントディレクトリ","current directory"
254,"ガントチャート","gantt chart"
255,"カンバ","kamba"
256,"カンファレンス","conference"
257,"カンマ","comma"
258,"ガンマ","gamma"
259,"キー","key"
260,"キーアサイン","key assign"
261,"ギーク","geek"
262,"キーコード","key code"
263,"キーストローク","keystroke"
264,"キータッチ","key touch"
265,"キートップ","key top"
266,"キーノート","keynote"
267,"キーパッド","keypad"
268,"キーフレーム","key-frame"
269,"キーボード","keyboard"
270,"キーボードショートカット","keyboard shortcut"
271,"キーボード入力","keyboard input"
272,"キーロガー","keylogger"
273,"キーワード","keyword"
274,"ギガバイト","gigabyte"
275,"ギガビット","gigabit"
276,"ギガビットイーサネット","gigabit ethernet"
277,"キャッシュ","cache"
278,"キャッシュファイル","cache file"
279,"キャッシュメモリ","cache memory"
280,"キャッチ","catch"
281,"キャパシティプランニング","capacity planning"
282,"キャプション","caption"
283,"キャプチャデバイス","capture device"
284,"キャラクタ","character"
285,"キャラクタベース","character-based"
286,"キャリア","carrier"
287,"キューイング","queuing"
288,"キラー","killer"
289,"ギリシア","greek"
290,"キロバイト","kilobyte"
291,"クイックソート","quick sort"
292,"クエリ","query"
293,"クエリー","query"
294,"クライアントサーバ","client server"
295,"クラウド","cloud"
296,"クラウドコンピューティング","cloud computing"
297,"クラスタリング","clustering"
298,"クラスライブラリ","class library"
299,"クラス","class"
300,"クラッキング","cracking"
301,"クラック","crack"
302,"クラッシュ","crash"
303,"グラフ","graph"
304,"グラフィカル","graphical"
305,"グラフィクス","graphics"
306,"グラフィック","graphic"
307,"グラフィックカード","graphic card"
308,"グラフィックス","graphics"
309,"グラフィックスカード","graphics card"
310,"グラフィックスチップ","graphics chip"
311,"グラフィックスボード","graphics board"
312,"グラフィックソフト","graphic soft"
313,"グラフィックツール","graphic tools"
314,"クリーンインストール","clean install"
315,"クリエイティブ","creative"
316,"グリッド","grid"
317,"クリップ","clip"
318,"クリップアート","clip art"
319,"グループ","group"
320,"グループウェア","groupware"
321,"グレースケール","grayscale"
322,"グレード","grade"
323,"クレジット","credit"
324,"クローズ","close"
325,"クローズド","closed"
326,"グローバル","global"
327,"グローバルアドレス","global address"
328,"クロール","crawl"
329,"クロスケーブル","cross cable"
330,"クロスサイトスクリプティング","cross site scripting"
331,"クロス","cross"
332,"クロック","clock"
333,"クロックアップ","clock up"
334,"ケースバイケース","case-by-case"
335,"ゲートウェイ","gateway"
336,"ゲームソフト","game software"
337,"ケール","kale"
338,"コア","core"
339,"コアダンプ","core dump"
340,"コーディネーション","coordination"
341,"コーディング","coding"
342,"コーデック","codec"
343,"コード","code"
344,"コードネーム","code name"
345,"コーパス","corpus"
346,"コーポレート","corporate"
347,"コール","call"
348,"コールドブート","cold boot"
349,"ゴシック","gothic"
350,"コスト","cost"
351,"コネクション","connection"
352,"コネクタ","connector"
353,"コピー","copy"
354,"コプロセッサ","coprocessor"
355,"コマース","commerce"
356,"コマンド","command"
357,"コマンドキー","command key"
358,"コマンドプロンプト","command prompt"
359,"コマンドライン","command line"
360,"コマンドレット","command let"
361,"コマンド入力","command input"
362,"コミッション","commission"
363,"コミット","commit"
364,"コミットメント","commitment"
365,"コミュニケーション","communication"
366,"コミュニティ","community"
367,"コミュニティー","community"
368,"コラボレーション","collaboration"
369,"コンサルティング","consulting"
370,"コンシューマ","consumer"
371,"コンセプト","concept"
372,"コンソーシアム","consortium"
373,"コンソール","console"
374,"コンソールアプリケーション","console application"
375,"コンテキスト","context"
376,"コンテクスト","context"
377,"コンテナ","container"
378,"コンデンサ","capacitor"
379,"コンテンツ","content"
380,"コンテンツプロバイダ","content provider"
381,"コンテンツプロバイダー","content provider"
382,"コンテンツ、システム","content, system"
383,"コントラスト","contrast"
384,"コントローラ","controller"
385,"コントローラー","controller"
386,"コントロール","control"
387,"コントロールパネル","control panel"
388,"コンバージェンス","convergence"
389,"コンバータ","converter"
390,"コンバーター","converter"
391,"コンバート","convert"
392,"コンパイラ","compiler"
393,"コンパイラー","compiler"
394,"コンパイル","compile"
395,"コンパクトフラッシュ","compact flash"
396,"コンピュータ","computer"
397,"コンピューター","computer"
398,"コンピュータアーキテクチャ","computer architecture"
399,"コンピューターウイルス","computer virus"
400,"コンピューターシステム","computer system"
401,"コンピューターセキュリティ","computer security"
402,"コンピュータウイルス","computer virus"
403,"コンピュータグラフィックス","computer graphics"
404,"コンピュータゲーム","computer game"
405,"コンピュータシステム","computer system"
406,"コンピュータセキュリティ","computer security"
407,"コンピュータソフト","computer software"
408,"コンピュータソフトウェア","computer software"
409,"コンピュータネットワーク","computer network"
410,"コンピューティング","computing"
411,"コンピュート","compute"
412,"コンフィギュレーション","configuration"
413,"コンフィグレーション","configuration"
414,"コンポーネント","component"
415,"コンボボックス","combo box"
416,"コンマ","comma"
417,"サーチ","search"
418,"サーチエンジン","search engine"
419,"サーチパス","search path"
420,"サード","third"
421,"サーバ","server"
422,"サーバー","server"
423,"サービス","service"
424,"サービスプロバイダ","service providers"
425,"サーベイ","survey"
426,"サイエンス","science"
427,"サイコロ","dice"
428,"サイト","site"
429,"サインアウト","sign out"
430,"サウンドカード","sound card"
431,"サウンドファイル","sound file"
432,"サウンドボード","sound board"
433,"サウンド","sound"
434,"サジェスト","suggest"
435,"サスペンド","suspend"
436,"サブクラス","subclass"
437,"サブコマンド","subcommand"
438,"サブシステム","subsystem"
439,"サブドメイン","subdomain"
440,"サブネットマスク","subnet mask"
441,"サブメニュー","submenu"
442,"サプライヤー","supplier"
443,"サブルーチン","subroutine"
444,"サポート","support"
445,"サマリー","summary"
446,"サンドボックス","sandbox"
447,"サンプリング","sampling"
448,"サンプリングレート","sampling rate"
449,"シーク","seek"
450,"シークタイム","seek time"
451,"シーケンシャル","sequential"
452,"シーケンシャルアクセス","sequential access"
453,"シーケンス","sequence"
454,"シームレス","seamless"
455,"シールド","shield"
456,"シェア","share"
457,"シェアウェア","shareware"
458,"シェアリング","sharing"
459,"ジェスチャー","gesture"
460,"シェル","shell"
461,"シェルスクリプト","shell script"
462,"システム","system"
463,"システムアーキテクチャ","system architecture"
464,"システムアドミニストレータ","system administrator"
465,"システムインテグレーション","system integration"
466,"システムインテグレータ","system integrator"
467,"システムエラー","system error"
468,"システムエンジニア","system engineer"
469,"システムソフトウェア","system software"
470,"システムダウン","system down"
471,"システムテスト","system test"
472,"システムドライブ","system drive"
473,"システムファイル","system file"
474,"システムリソース","system resource"
475,"シノニム","synonym"
476,"シビア","severe"
477,"シフト","shift"
478,"シミュレーション","simulation"
479,"シミュレータ","simulator"
480,"シミュレーター","simulator"
481,"シミュレート","simulate"
482,"ジャイロ","gyro"
483,"シャット","shut"
484,"ジャバ","Java"
485,"ジャバスクリプト","JavaScript"
486,"ジャンプ","jump"
487,"シューティング","shooting"
488,"シューティングゲーム","shooting game"
489,"ジョイン","join"
490,"ショートカット","shortcut"
491,"ショートカットキー","shortcut key"
492,"ジョブキュー","job queue"
493,"ジョブ","job"
494,"シリアル","serial"
495,"シリアルポート","serial port"
496,"シリンダ","cylinder"
497,"シンクライアント","synclient"
498,"シングルクォート","single quote"
499,"シングルクリック","single-click"
500,"シングルサインオン","single sign-on"
501,"シングルタスク","single task"
502,"シングルモード","single-mode"
503,"シンセサイザー","synthesizer"
504,"シンタックス","syntax"
505,"シンタックスエラー","syntax error"
506,"シンプル","simple"
507,"シンポジウム","symposium"
508,"シンボリックリンク","symbolic link"
509,"シンボル","symbol"
510,"スイッチ","switch"
511,"スイッチャー","switcher"
512,"スイッチング","switching"
513,"スイッチングハブ","switching hub"
514,"スーパーコンピュータ","supercomputer"
515,"スーパーコンピューター","supercomputer"
516,"スーパーユーザ","superuser"
517,"ズーム","zoom"
518,"ズームレンズ","zoom lens"
519,"スカラー","scalar"
520,"スキーマ","schema"
521,"スキーム","scheme"
522,"スキップ","skip"
523,"スキャナ","scanner"
524,"スキャン","scan"
525,"スクリーン","screen"
526,"スクリーンキャプチャ","screen capture"
527,"スクリーンセーバー","screen-saver"
528,"スクリプト","script"
529,"スクリプトファイル","script file"
530,"スクロール","scroll"
531,"スクロールバー","scroll bar"
532,"スケーラビリティ","scalability"
533,"スケーリング","scaling"
534,"スケール","scale"
535,"スケールアウト","scale-out"
536,"スケジューリング","scheduling"
537,"スケジュール","schedule"
538,"スコープ","scope"
539,"スタートアップ","startup"
540,"スタートボタン","start button"
541,"スター","star"
542,"スタック","stack"
543,"スタックトレース","stack trace"
544,"スタディ","study"
545,"スタティック","static"
546,"スタブ","stub"
547,"スタンドアローン","stand-alone"
548,"スタンドアロン","stand-alone"
549,"ステージング","staging"
550,"ステータス","status"
551,"ステータスバー","status bar"
552,"ステート","state"
553,"ストア","store"
554,"ストアドプロシージャ","stored procedure"
555,"ストップ","stop"
556,"ストライピング","striping"
557,"ストラクチャ","structure"
558,"ストリーム","stream"
559,"ストレージ","storage"
560,"スナップ","snap"
561,"スナップショット","snapshot"
562,"スパイウェア","spyware"
563,"スパコン","supercomputer"
564,"スパム","spam"
565,"スパムメール","spam e-mail"
566,"スパン","span"
567,"スピーカ","speaker"
568,"スピーディー","speedy"
569,"スピンドル","spindle"
570,"スプーフィング","spoofing"
571,"スプール","spool"
572,"スプレッドシート","spreadsheet"
573,"スペース","space"
574,"スペースキー","space bar"
575,"スペクトラム","spectrum"
576,"スペクトル","spectrum"
577,"スペシャリスト","specialist"
578,"スペル","spell"
579,"スマート","smart"
580,"スマートフォン","smartphone"
581,"スムース","smooth"
582,"スムーズ","smooth"
583,"スモール","small"
584,"スライダ","slider"
585,"スライダー","slider"
586,"スライド","slide"
587,"スライドショー","slide show"
588,"スラッシング","thrashing"
589,"スループット","throughput"
590,"スレート","slate"
591,"スレーブ","slave"
592,"スレッド","thread"
593,"スレッドセーフ","thread-safe"
594,"スロット","slot"
595,"スワイプ","swipe"
596,"スワップ","swap"
597,"セキュア","secure"
598,"セキュリティ","security"
599,"セキュリティー","security"
600,"セキュリティシステム","security system"
601,"セキュリティホール","security hole"
602,"セキュリティリスク","security risk"
603,"セクション","section"
604,"セクタ","sector"
605,"セグメンテーション","segmentation"
606,"セグメント","segment"
607,"セション","session"
608,"セッション","session"
609,"セットアップ","setup"
610,"セパレータ","separator"
611,"セマンティック","semantic"
612,"セミコロン","semicolon"
613,"セル","cell"
614,"セルフサービス","self-service"
615,"セルラー","cellular"
616,"セレクタ","selector"
617,"センサー","sensor"
618,"センシティブ","sensitive"
619,"センタリング","centering"
620,"ソーシャルエンジニアリング","social engineering"
621,"ソースコード","source code"
622,"ソート","sort"
623,"ゾーン","zone"
624,"ソケット","socket"
625,"ソフト","soft"
626,"ソフトウェア","software"
627,"ソフトウエア","software"
628,"ソフトウェアエンジニア","software engineer"
629,"ソフトウェアエンジニアリング","software engineering"
630,"ソフトウェアキーボード","software keyboard"
631,"ソフトウェアパッケージ","software package"
632,"ソフトウェアライセンス","software license"
633,"ソフトハウス","software house"
634,"ターゲット","target"
635,"ターニングポイント","turning point"
636,"ターミナル","terminal"
637,"ダイアログボックス","dialog box"
638,"ダイオード","diode"
639,"タイトルバー","title bar"
640,"ダイナミック","dynamic"
641,"タイマー","timer"
642,"ダイヤル","dial"
643,"ダイヤルアップ","dial-up"
644,"タイル","tile"
645,"ダイレクト","direct"
646,"ダイレクトアクセス","direct access"
647,"ダウン","down"
648,"ダウンタイム","down time"
649,"ダウンロード","download"
650,"タグ","tag"
651,"タスク","task"
652,"タスクバー","taskbar"
653,"ダッシュボード","dashboard"
654,"タッチスクリーン","touch screen"
655,"タッチパッド","touch-pad"
656,"タッチパネル","touch panel"
657,"タップ","tap"
658,"タブ","tab"
659,"ダブルクォーテーション","double quotes"
660,"ダブルクリック","double click"
661,"ダブルタップ","double tap"
662,"タブレット","tablet"
663,"ダミー","dummy"
664,"ダラー","dollar"
665,"タワー","tower"
666,"ダンプ","dump"
667,"チームリーダー","team leader"
668,"チェーンメール","chain mail"
669,"チェックイン","check-in"
670,"チェックサム","checksum"
671,"チェックディスク","check disk"
672,"チェック","check"
673,"チェックポイント","checkpoint"
674,"チェックボックス","checkbox"
675,"チェックマーク","check mark"
676,"チップ","chip"
677,"チャット","chat"
678,"チャットルーム","chat room"
679,"チャネル","channel"
680,"チャンネル","channel"
681,"チュートリアル","tutorial"
682,"チューリング","turing"
683,"チューリングマシン","turing machine"
684,"ツール","tool"
685,"ツールキット","toolkit"
686,"ツールバー","toolbar"
687,"ツリー","tree"
688,"ディザスタリカバリ","disaster recovery"
689,"ディジタル","digital"
690,"ディスカッション","discussion"
691,"ディスク","disk"
692,"ディスクアレイ","disk array"
693,"ディスクキャッシュ","disk cache"
694,"ディスクスペース","disk space"
695,"ディスクドライブ","disk drive"
696,"ディスクパーティション","disk partition"
697,"ディスクレス","diskless"
698,"ディスパッチ","dispatch"
699,"ディスパッチャ","dispatcher"
700,"ディスプレイ","display"
701,"ディスプレイモデル","display model"
702,"ティッカー","ticker"
703,"ディップスイッチ","dip switch"
704,"ディベロッパー","developer"
705,"ディメンション","dimension"
706,"ディレクティブ","directive"
707,"ディレクトリ","directory"
708,"ディレクトリー","directory"
709,"ディレクトリツリー","directory tree"
710,"データ","data"
711,"データウェアハウス","data warehouse"
712,"データストレージ","data storage"
713,"データセット","data set"
714,"データセンタ","data center"
715,"データタイプ","data type"
716,"データチェック","data check"
717,"データバス","data bus"
718,"データファイル","data file"
719,"データブロック","data block"
720,"データベース","database"
721,"データベースアクセス","database access"
722,"データベースエンジン","database engine"
723,"データベースサーバ","database server"
724,"データベースサーバー","database server"
725,"データベースシステム","database system"
726,"データベースソフト","database software"
727,"データマート","data mart"
728,"データマイニング","data mining"
729,"データモデリング","data modeling"
730,"データモデル","data model"
731,"データリンク","data link"
732,"テープカートリッジ","tape cartridge"
733,"テープレコーダー","tape recorder"
734,"テキスト","text"
735,"テキストエディタ","text editor"
736,"テキストデータ","text data"
737,"テキストファイル","text file"
738,"テキストベース","text-based"
739,"テキストボックス","text box"
740,"テキストモード","text mode"
741,"テクスチャ","texture"
742,"テクニカルサポート","technical support"
743,"テクノ","techno"
744,"デコーダ","decoder"
745,"デコーダー","decoder"
746,"デコード","decode"
747,"デザイナ","designer"
748,"デザイナー","designer"
749,"デザイン","design"
750,"テザリング","tethering"
751,"デジタイザ","digitizer"
752,"デジタイザー","digitizer"
753,"デジタルオーディオ","digital audio"
754,"デジタルビデオカメラ","digital video camera"
755,"デジタル","digital"
756,"デスク","desk"
757,"デスクトップコンピュータ","desktop computer"
758,"デスクトップ","desktop"
759,"テスター","tester"
760,"テスト","test"
761,"テストケース","test case"
762,"テストスクリプト","test script"
763,"テストデータ","test data"
764,"テストパターン","test pattern"
765,"テストモード","test mode"
766,"デッドロック","deadlock"
767,"デバイス","device"
768,"デバイスドライバ","device driver"
769,"デバッガ","debugger"
770,"デバッガー","debugger"
771,"デバック","debug"
772,"デバッグ","debug"
773,"デバッグモード","debug mode"
774,"デファクトスタンダード","de facto standard"
775,"デフォルト","default"
776,"デフラグ","defragmentation"
777,"デベロッパー","developer"
778,"デベロッパーズ","developers"
779,"デメリット","demerit"
780,"デモ","demo"
781,"デモンストレーション","demonstration"
782,"デュアル","dual"
783,"デュアルバンド","dual band"
784,"デュアルブート","dual boot"
785,"デュアルモード","dual-mode"
786,"デュープレックス","duplex"
787,"デュプレックス","duplex"
788,"テラ","tera"
789,"テラバイト","terabyte"
790,"デリート","delete"
791,"デリミタ","delimiter"
792,"テレフォニー","telephony"
793,"テンキー","tenkey"
794,"テンプレート","template"
795,"テンポラリ","temporary"
796,"テンポラリファイル","temporary file"
797,"デンマーク","denmark"
798,"トークン","token"
799,"トータルコスト","total cost"
800,"ドキュメンテーション","documentation"
801,"ドキュメント","document"
802,"ドキュメントファイル","document file"
803,"ドッキングステーション","docking station"
804,"ドット","dot"
805,"トップ","top"
806,"トップダウン","top down"
807,"トップページ","front page"
808,"トップメニュー","top menu"
809,"トップレベルドメイン","top level domain"
810,"トピック","topic"
811,"トピックス","topics"
812,"トポロジ","topology"
813,"トポロジー","topology"
814,"ドメイン","domain"
815,"ドメインネーム","domain name"
816,"トライ","try"
817,"ドライバ","driver"
818,"ドライブベイ","drive bay"
819,"トラッキング","tracking"
820,"ドラッグ","drag"
821,"トラックボール","trackball"
822,"トラフィック","traffic"
823,"トラブル","trouble"
824,"トランザクション","transaction"
825,"トランジスタ","transistor"
826,"トランスポート","transport"
827,"トランスレータ","translator"
828,"トリガー","trigger"
829,"トレイ","tray"
830,"トレーシング","tracing"
831,"トレース","trace"
832,"トレードオフ","trade-off"
833,"ドロップ","drop"
834,"ドロップダウンメニュー","drop-down menu"
835,"ドングル","dongle"
836,"ナレッジマネジメント","knowledge management"
837,"ニックネーム","nickname"
838,"ニュースフィード","news feed"
839,"ニューラルネットワーク","neural network"
840,"ネクスト","next"
841,"ネスト","nest"
842,"ネッティング","netting"
843,"ネットブック","netbook"
844,"ネットワーク","network"
845,"ネットワークアダプタ","network adapter"
846,"ネットワークアドレス","network address"
847,"ネットワークインフラ","network infrastructure"
848,"ネットワークケーブル","network cable"
849,"ネットワークドライブ","network drive"
850,"ネットワークプリンタ","network printer"
851,"ネットワークプロトコル","network protocol"
852,"ネットワークリソース","network resource"
853,"ネットワーク、システム","network, system"
854,"ノイズ","noise"
855,"ノウハウ","knowhow"
856,"ノート","note"
857,"ノード","node"
858,"ノーマルモード","normal mode"
859,"ノンブロッキング","non-blocking"
860,"ノンリニア","non-linear"
861,"バーコード","barcode"
862,"バーコードリーダー","barcode reader"
863,"バージョン","version"
864,"バージョンアップ","version up"
865,"バージョン システム","version system"
866,"パース","parse"
867,"バーストモード","burst mode"
868,"パーセンテージ","percentage"
869,"パーソナライズ","personalize"
870,"パーソナルコンピュータ","personal computer"
871,"パーソナルコンピューター","personal computer"
872,"バーチャル","virtual"
873,"バーチャルマシン","virtual machine"
874,"パーツ","part"
875,"パーティクル","particle"
876,"パーティショニング","partitioning"
877,"パーティションテーブル","partition table"
878,"ハードウェア","hardware"
879,"ハードウエア","hardware"
880,"ハードウェアプラットフォーム","hardware platform"
881,"ハードディスク","hard disk"
882,"ハードディスクドライブ","hard disk drive"
883,"ハードドライブ","hard drive"
884,"ハードリンク","hard link"
885,"ハイエンド","high-end"
886,"ハイエンドモデル","high-end model"
887,"バイオス","bios"
888,"バイナリ","binary"
889,"ハイパーテキスト","hyper text"
890,"ハイパーバイザー","hypervisor"
891,"ハイパーリンク","hyper link"
892,"ハイパフォーマンス","high performance"
893,"パイプライン","pipeline"
894,"ハイフン","hyphen"
895,"バグ","bug"
896,"バグフィックス","bug fix"
897,"パケット","packet"
898,"パケットフィルタリング","packet filtering"
899,"パス","pass"
900,"パスコード","passcode"
901,"パスフレーズ","pass phrase"
902,"パスワード","password"
903,"パス","path"
904,"パソコンショップ","personal computer shop"
905,"パソコンユーザー","personal computer user"
906,"パソコン","personal computer"
907,"パターン","pattern"
908,"パターンファイル","pattern file"
909,"パターンマッチング","pattern matching"
910,"ハッカー","hacker"
911,"ハッキング","hacking"
912,"ハック","hack"
913,"バックアップ","backup"
914,"バックアップファイル","backup file"
915,"バックエンド","back-end"
916,"バックオフィス","back office"
917,"バックグラウンド","background"
918,"バックグランド","background"
919,"バックス","backs"
920,"バック","back"
921,"バックドア","backdoor"
922,"バックボーン","backbone"
923,"パッケージ","package"
924,"パッケージソフト","package software"
925,"パッケージソフトウェア","package software"
926,"ハッシュ","hash"
927,"ハッシュアルゴリズム","hash"
928,"ハッシュタグ","hashtag"
929,"パッチ","patch"
930,"バッチジョブ","batch job"
931,"バッチファイル","batch file"
932,"パッチファイル","patch file"
933,"バッチ","batch"
934,"バッテリ","battery"
935,"バッファ","buffer"
936,"バッファー","buffer"
937,"バッファオーバーフロー","buffer overflow"
938,"バッファリング","buffering"
939,"バナー","banner"
940,"パネル","panel"
941,"ハノイ","hanoi"
942,"パフォーマンス","performance"
943,"パブリック","public"
944,"パブリックドメイン","public domain"
945,"バブルソート","bubble sort"
946,"パラメータ","parameter"
947,"パラメーター","parameter"
948,"パラメタ","parameter"
949,"パラレルポート","parallel port"
950,"バランシング","balancing"
951,"パリティ","parity"
952,"バリデーション","validation"
953,"バリュー","value"
954,"バルク","bulk"
955,"パレット","palette"
956,"バンキング","banking"
957,"ハング","hang"
958,"ハンダ","solder"
